Ticker,Name,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary
341,CAFE DE CORAL H,Restaurants,restaurants,Restaurants,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Café de Coral Holdings Limited, an investment holding company, engages in the operation of quick service restaurants and casual dining chains in Hong Kong and Mainland China. It operates restaurants primarily under the Café de Coral, Super Super Congee & Noodles, The Spaghetti House, Oliver's Super Sandwiches, Shanghai Lao Lao, Mixian Sense, Don Don Tei, THE CUP, Lane Noodles, and Sisi Salsa brands. The company also provides institutional catering services under the Asia Pacific Catering and Luncheon Star brands for universities, hospitals, government, and public and private institutions. In addition, it produces and distributes ham and sausage products under the Viking Boat brand for supermarket chains, convenience stores, bakeries, fast food restaurants, and hotels. Further, the company is involved in the property investment; premises space leasing; and food processing and trading businesses. Café de Coral Holdings Limited was incorporated in 1968 and is headquartered in Sha Tin, Hong Kong."
343,CULTURECOM HOLD,Advertising Agencies,advertising-agencies,Advertising Agencies,Communication Services,communication-services,Communication Services,"Culturecom Holdings Limited, an investment holding company, operates as a comic book publishers and media content provider in Hong Kong and the People's Republic of China. The company operates through Publishing and Intellectual Properties (IPs) Licensing; Digital Marketing; Retailing and Wholesales; and Natural Language Processing segments. The Publishing and Intellectual Properties Licensing segment publishes comic books, as well as licenses IPs of comics. The Digital Marketing segment provides digital marketing and communication services; and IPs digitalisation and agency services. The Retailing and Wholesales segment is involved in retailing of wine. The Natural Language Processing segment offers artificial intelligence (AI) speech technology solutions in real-time human interaction field, including design and implementation in software and embedded chipset domains. The company owns comic titles across various genres and the catalogue spans, including martial arts action and contemporary romance. It also engages in securities trading activities; and provision of management services. Culturecom Holdings Limited was incorporated in 1993 and is headquartered in Admiralty, Hong Kong."
345,VITASOY INT'L,Packaged Foods,packaged-foods,Packaged Foods,Consumer Defensive,consumer-defensive,Consumer Defensive,"Vitasoy International Holdings Limited, an investment holding company, manufactures and sells food and beverages in Mainland China, Hong Kong, Australia, New Zealand, and Singapore. The company offers soyamilk and other plant milk products, tea, water, juice, tofu, etc. It operates tuck shops and catering business; and exports soya related products, as well as invests in properties. It sells its products through distributors and retailers. Vitasoy International Holdings Limited was incorporated in 1940 and is headquartered in Tuen Mun, Hong Kong."
346,YANCHANG PETRO,Oil & Gas Integrated,oil-gas-integrated,Oil & Gas Integrated,Energy,energy,Energy,"Yanchang Petroleum International Limited, an investment holding company, engages in the supply and procurement operation of oil related products in the People's Republic of China. The company operates through Exploration, Exploitation and Operation Business; and Supply and Procurement Business segments. It engages in the wholesale, retail, storage, and transportation of refined oil. The company also acquires, explores for, exploits, develops, and produces crude oil and natural gas; and trades in and distributes oil related products. It owns interests in oilfield blocks located in Saskatchewan and Alberta, Canada. The company was formerly known as Sino Union Energy Investment Group Limited and changed its name to Yanchang Petroleum International Limited in May 2012. The company was incorporated in 2001 and is headquartered in Causeway Bay, Hong Kong. Yanchang Petroleum International Limited operates as a subsidiary of Yanchang Petroleum Group (Hong Kong) Co., Limited."
347,ANGANG STEEL,Steel,steel,Steel,Basic Materials,basic-materials,Basic Materials,"Angang Steel Company Limited engages in the production, processing, and sale of steel products in the People's Republic of China and internationally. Its principal products include hot rolled sheets, medium and high sheets, cold rolled sheets, galvanized steel sheets, color coating sheets, cold rolled silicon steel, heavy rails and profiles, seamless steel pipes, and wire rods. The company also engages in ferrous metal smelting and steel rolling processing activities. In addition, it sells metal materials and products, and building materials, etc.; provides wholesale and retail purchasing services; and purchases and sells metal and other materials, as well as imports, exports, wholesales, and retails steel and goods. Further, the company engages in the purification of cooking gas; production of metal ropes, coal chemical, coking and chemical products, and products and dissolved acetylene; and sale of compressed and liquefied gas. Additionally, it engages in e-commerce transactions of industrial products; provision of consulting and logistics distribution technology services; sales of equipment for gas and liquid separation and purification; supply chain financial services; processing and sale of steel and steel coils; and steel trade activities. Its products are used in various industries, such as machinery, metallurgy, petroleum, chemical, coal, electricity, railway, ship, automobile, construction, home appliances, and aviation industries. The company was formerly known as Angang New Steel Company Limited and changed its name to Angang Steel Company Limited in June 2006. Angang Steel Company Limited was founded in 1997 and is headquartered in Anshan, China. Angang Steel Company Limited is a subsidiary of Anshan Iron & Steel Co. Ltd."
348,CHINAHEALTHWISE,Pharmaceutical Retailers,pharmaceutical-retailers,Pharmaceutical Retailers,Healthcare,healthcare,Healthcare,"China Healthwise Holdings Limited, an investment holding company, sells Chinese health products in Hong Kong and The People's Republic of China. The company operates through three segments: Chinese Health Products, Money Lending Business, and Investment in Financial Instruments. It sells Chinese and other pharmaceutical products, health products, ginseng, and dried seafood products to wholesalers and retailers. The company sells Chinese health products online. In addition, it provides loans; and invests in financial instruments. The company was formerly known as Haier Healthwise Holdings Limited and changed its name to China Healthwise Holdings Limited in January 2017. China Healthwise Holdings Limited was incorporated in 1997 and is headquartered in Central, Hong Kong."
351,ASIA ENERGY LOG,Marine Shipping,marine-shipping,Marine Shipping,Industrials,industrials,Industrials,"Asia Energy Logistics Group Limited, an investment holding company, provides shipping and logistics services in the People's Republic of China. The company operates a fleet of two dry bulk carriers with a total carrying capacity of approximately 64,000 DWT. It also engages in telecommunication related business. Asia Energy Logistics Group Limited was incorporated in 1991 and is based in Admiralty, Hong Kong."
352,FORTUNE SUN,Real Estate Services,real-estate-services,Real Estate Services,Real Estate,real-estate,Real Estate,"Fortune Sun (China) Holdings Limited, an investment holding company, provides property consultancy and sales agency services for the property markets in the People's Republic of China and Southeast Asia. It also offers fund management services; and property investment management, property finance, property sale and marketing, and property information services. The company was founded in 1997 and is headquartered in Shanghai, China."
353,ENERGY INTINV,Oil & Gas Equipment & Services,oil-gas-equipment-services,Oil & Gas Equipment & Services,Energy,energy,Energy,"Energy International Investments Holdings Limited, an investment holding company, engages in the oil production, and oil and liquefied chemical terminal leasing businesses in the People's Republic of China and Hong Kong. It is involved in the operation of liquid chemical terminal, storage, and logistics facilities business, as well as provides agency services. The company was formerly known as Xian Yuen Titanium Resources Holdings Limited and changed its name to Energy International Investments Holdings Limited in September 2010. Energy International Investments Holdings Limited was incorporated in 2000 and is headquartered in Wan Chai, Hong Kong."
354,CHINASOFT INT'L,Information Technology Services,information-technology-services,Information Technology Services,Technology,technology,Technology,"Chinasoft International Limited, together with its subsidiaries, engages in development and provision of information technology (IT) solutions, IT outsourcing, and training services in the People's Republic of China, the United States, Malaysia, Japan, Singapore, India, and Saudi Arabia. It operates through Technical Professional Services Group and Internet IT Services Group segments. The company offers cloud management services, cloud solutions, cloud training, and huawei cloud products; technology, operational strategy, business transformation, and enterprise exchange; human resource solutions. It also provides data engineering services, such as data center/platform construction, data control and governance platform and system construction, data mining and special data application construction, and data operation and maintenance platform construction; enterprise data asset management; artificial intelligence; and consulting and evaluation services. In addition, the company offers application software development and maintenance; management services; product engineering services comprising product design, software engineering, hardware engineering, product test quality assurance, and product life cycle management; and testing solutions for financial, insurance, retail, e-commerce, intelligent terminal, smart home, vehicle and central control, multilingual, and games businesses. Further, it provides software platform, including ResourceOne platform, a middleware platform based on cloud computing; big data middleware, a data scenario development platform; and TopLink/TSA, a payment platform. Additionally, the company offers business process outsource services for personnel and accounting, CAD architectural design, production design, and engineering design, DTP desktop publishing, banking transactions, webpage making, data entry, and client assistance. The company was incorporated in 2000 and is headquartered in Beijing, the People's Republic of China."
355,CENTURY C INT'L,Real Estate - Diversified,real-estate-diversified,Real Estate - Diversified,Real Estate,real-estate,Real Estate,"Century City International Holdings Limited, an investment holding company, engages in the property, construction and building, hotel, asset management, aircraft ownership and leasing, and investment businesses in Hong Kong, Mainland China, and internationally. The company's Property Development and Investment segment develops and sells properties; leases properties; and provides estate agency services. Its Construction and Building Related Businesses segment is involved in construction works and building related businesses, including the provision of development consultancy and project management services, property management, security systems and products, and other software development and distribution services. The company's Hotel Operation and Management and Hotel Ownership segment engages in hotel operations and hotel management services, and the ownership of hotel properties for rental. Its Asset Management segment offers asset management services to Regal REIT. The company's Financial Assets Investments segment is involved in trading of financial assets, and other financial assets investments. Its Aircraft Ownership and leasing segment owns and leases aircrafts. The company's Others segment provides financing, securities brokerage, and housekeeping and related services; sells food products; operates and manages restaurants; operates security storage lounges and retail shops; and develops and distributes multimedia entertainment, and digital educational content, as well as multi-platform social games. It also offers management, nominee, corporate management, secretarial, financing, construction engineering, and lighting technology, services; and mechanical and electrical engineering services, as well as engages in food and beverage, and hotel ownership operations. The company was incorporated in 1989 and is headquartered in Causeway Bay, Hong Kong."
356,DT CAPITAL,Capital Markets,capital-markets,Capital Markets,Financial Services,financial-services,Financial Services,"DT Capital Limited is a publicly owned investment manager; through its subsidiaries, engages in investment holding. It invests in listed and unlisted companies in the Greater China region, Southeast Asia, and Europe in the form of equity or equity-related securities and debt instruments. DT Capital Limited is formerly known as Incutech Investments Limited. DT Capital Limited was founded in 2001 and is based in Central, Hong Kong."
357,MEILAN AIRPORT,Airports & Air Services,airports-air-services,Airports & Air Services,Industrials,industrials,Industrials,"Hainan Meilan International Airport Company Limited, together with its subsidiaries, engages in the aeronautical and non-aeronautical businesses at the Haikou Meilan Airport in the People's Republic of China. Its aeronautical business includes the provision of terminal facilities, ground handling services, and passenger services. The company's non-aeronautical business comprises the leasing of commercial and retail spaces at Haikou Meilan Airport; franchise of airport-related business; leasing of advertising space; provision of car parking and cargo handling services; and sale of consumable goods. It is also involved in the business investment; hotel investment and operation activities; and rendering of cargo and logistics services. The company was formerly known as Regal International Airport Group Company Limited and changed its name to Hainan Meilan International Airport Company Limited in November 2019. The company was incorporated in 2000 and is headquartered in Haikou City, the People's Republic of China. Hainan Meilan International Airport Company Limited is a subsidiary of Haikou Meilan International Airport Co., Ltd."
358,JIANGXI COPPER,Copper,copper,Copper,Basic Materials,basic-materials,Basic Materials,"Jiangxi Copper Company Limited, together with its subsidiaries, engages in exploring, mining, ore dressing, smelting, refining, and processing of copper in Mainland China, Hong Kong, and internationally. The company's main products include copper cathode, gold, silver, sulphuric acid, copper rod, copper tube, copper foil, selenium, tellurium, rhenium, bismuth, etc. It is involved in the production, processing, and sale of precious metals and non-ferrous metals; import and export trade of non-ferrous metals, minerals, and other products; manufacture and sale of copper products; sale of metals, chemicals, mining products, and construction materials; production of wires and related products; sale of anodes plates; and trading of metal products. In addition, the company provides deposits, loans, and guarantees and financing consultation services; and offers project investment, fund investment, investment management, investment advisory and economic information advisory services; and invests in mining sectors. Further, it engages in the manufacturing and sales of mining machinery and specialised chemical products; technical services; and technical development; manufacturing and sales of superconducting materials and the pressing and processing of nonferrous metals; and manufacturing and sales of electrical equipment and specialised equipment for electrical machinery. The company was founded in 1979 and is headquartered in Nanchang, China."
360,NEW FOCUS AUTO,Auto Parts,auto-parts,Auto Parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"New Focus Auto Tech Holdings Limited, an investment holding company, manufactures and sells of electronic and power-related automotive parts and accessories in the People's Republic of China, the Americas, Europe, and the Asia Pacific. The company operates in three segments: Manufacturing and Trading Business, Automobile Dealership and Services Business, and Hydrogen Fuel Cell Business. It offers automotive lighting and automotive electronic power products, including the automotive converter boxes, multi-function power supplies, cooler and warmer boxes, chargers, automotive lighting products high intensity discharge lamps, automotive auxiliary lights, work lights, etc. The company is involved in the provision of after-sales services, including maintenance and repair, automobile customization and furnishing, and automobile recall and consultancy services; manufacturing of mechanical and electrical equipment; distribution of automobile insurance and financial products; and sale of automobile accessories, as well as automobile accessories and nonferrous metal alloys. The company was incorporated in 2002 and is headquartered in Qingdao, the People's Republic of China."
361,SINO GOLF HOLD,Leisure,leisure,Leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Sino Golf Holdings Limited, an investment holding company, engages in the manufacture and trading of golf equipment, and related components and parts in Japan, North America, Europe, rest of Asia, and internationally. The company operates through Golf Equipment, Golf Bags, and Hospitality segments. It offers assembled and packaged golf clubs, club heads, shafts and golf bags, and accessories on an original equipment manufacturing and original design manufacturing basis to golf companies. The company is also involved in the development of an integrated resort in the Commonwealth of the Northern Mariana Islands; and holding of properties. Sino Golf Holdings Limited was founded in 1988 and is based in Tsuen Wan, Hong Kong."
362,C ZENITH CHEM,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"China Zenith Chemical Group Limited, an investment holding company, manufactures and sells calcium carbide and agriculture chemical products in the People's Republic of China. It produces and sells of vinyl acetate and polyvinyl-chloride. The company also provides administrative and consultancy services, as well as manufactures and sells of mining products. The company was formerly known as Xinyang Maojian Group Limited and changed its name to China Zenith Chemical Group Limited in April 2022. China Zenith Chemical Group Limited was founded in 1992 and is headquartered in Wan Chai, Hong Kong."
363,SHANGHAI IND H,Conglomerates,conglomerates,Conglomerates,Industrials,industrials,Industrials,"Shanghai Industrial Holdings Limited, an investment holding company, engages in the infrastructure and environmental protection, real estate, consumer products, and comprehensive healthcare operations businesses in Hong Kong, China, rest of Asia, and internationally. The company invests in toll road projects and water services/clean energy businesses. It engages in the property development and investment activities, as well as operates hotel. In addition, the company manufactures and sells cigarettes, packaging materials, and printed products; and pharmaceutical and healthcare products. Further, the company involved in the raw materials sourcing business; provision of distribution and supply chain solutions services; and operation and franchise of a network of retail pharmacies. The company was incorporated in 1996 and is based in Wan Chai, Hong Kong. Shanghai Industrial Holdings Limited operates as a subsidiary of Shanghai Industrial Investment (Holding) Co., Ltd."
365,SINO ICT,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"Sino ICT Holdings Limited, an investment holding company, manufactures and sells surface mount technology (SMT) and semiconductor equipment in the People's Republic of China and Hong Kong. It is also involved in the provision of semiconductor packaging equipment solutions and financial solutions; and agency services. In addition, the company produces and sells industrial products; and electricity, as well as provides electricity market transaction auxiliary and services. Its SMT equipment are used in automotive electronics, electronic machinery, household appliances, medical treatment, railway transportation, military, communications, logistics and finance, and other fields. The company was formerly known as Unisplendour Technology (Holdings) Limited and changed its name to Sino ICT Holdings Limited in December 2019. The company was founded in 1984 and is based in Tsim Sha Tsui, Hong Kong. Sino ICT Holdings Limited is a subsidiary of Sino Xin Ding Limited."
366,LUKS GROUP (VN),Building Materials,building-materials,Building Materials,Basic Materials,basic-materials,Basic Materials,"Luks Group (Vietnam Holdings) Company Limited, an investment holding company, engages in the manufacture and sale of cement products in Vietnam, Hong Kong, and Mainland China. It operates through five segments: Cement Products; Property Investment; Hotel Operation; Property Development; and Corporate and Others. The company offers cement products under the KIM DINH brand to construction sites and retail markets, as well as provides clinkers; and invests in and rents various properties, including industrial, commercial, and residential premises. It also offers property management and related services; develops and sells properties; operates and manages the Pentahotel Hong Kong located in Tuen Mun; sells and trades in electronic products, including printed circuits boards and other electronic components; and manufactures and sells plywood products. The company was founded in 1975 and is based in To Kwa Wan Hong Kong. Luks Group (Vietnam Holdings) Company Limited is a subsidiary of Luks Family (PTC) Limited."
367,CHUANG'S INT'L,Real Estate Services,real-estate-services,Real Estate Services,Real Estate,real-estate,Real Estate,"Chuang's Consortium International Limited, an investment holding company, primarily engages in the property development, investment, and trading activities in Hong Kong, the People's Republic of China, France, and internationally. The company owns a portfolio of investment properties comprising retail, office, residential, hotel, serviced apartments, and commercial/industrial buildings, as well as carparking spaces. It is also involved in the securities investment and trading; money lending; project management; hiring of assets and trading of merchandises; and the provision of property agency, property management, and nominee and secretarial services. In addition, the company engages in the development, construction, and operation of cemetery and the provision of related management services; and manufacture and sale of home finishing products. Further the company involved in the manufacture, sale, and trading of goods and merchandises, as well as manufacture of yachts.Chuang's Consortium International Limited was incorporated in 1970 and is based in Central, Hong Kong. Chuang's Consortium International Limited is a subsidiary of Evergain Holdings Limited."
368,SUPERLAND GROUP,Engineering & Construction,engineering-construction,Engineering & Construction,Industrials,industrials,Industrials,"Superland Group Holdings Limited an investment holding company, provides fitting-out, and repair and maintenance services in Hong Kong. The company offers fitting-out services for residential, hotel, club house, and shopping mall and commercial properties. It also provides electrical, minor works, and sub-contractor services. The company was formerly known as Superland Management Company Limited and changed its name to Superland Group Holdings Limited in December 2019. Superland Group Holdings Limited was founded in 2004 and is headquartered in Kwun Tong, Hong Kong. Superland Group Holdings Limited is a subsidiary of Fate Investment Company Limited."
369,WING TAI PPT,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Wing Tai Properties Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. It operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. The company's investment properties include commercial, industrial, residential units and serviced apartments, and hotel projects. It is also involved in the hospitality management, treasury investment, and licensing. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in June 2010. Wing Tai Properties Limited was incorporated in 1991 and is headquartered in Kwun Tong, Hong Kong."
370,CHINA BEST,Specialty Retail,specialty-retail,Specialty Retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"China Best Group Holding Limited, an investment holding company, trades in electronic appliances in the People's Republic of China, Singapore, and Hong Kong. The company operates through Trading of Goods; Finance Leasing; Money Lending; Securities and Futures Brokerage; International Air and Sea Freight Forwarding; Property Investment; Customized Technical Support; Property Brokerage; Project Management; Geothermal Energy; Building Construction Contracting; and Centralised Heating segments. It is involved in the finance leasing of plant and machinery; money lending; securities and futures dealing; and provision of international air and sea freight forwarding and logistic services, and finance lease and consultancy services. The company also provides property investment; building architecture and interior design; construction and project management; centralized heating and industrial steam; and building construction contracting services, as well as financial information, solutions, and data analytical services. In addition, it engages in the heating and cooling supply by geothermal energy; and provision of residential and commercial property agency services. China Best Group Holding Limited was incorporated in 1996 and is headquartered in Tsim Sha Tsui, Hong Kong."
371,BJ ENT WATER,Utilities - Regulated Water,utilities-regulated-water,Utilities - Regulated Water,Utilities,utilities,Utilities,"Beijing Enterprises Water Group Limited, an investment holding company, provides water treatment services. The company operates through Sewage and Reclaimed Water Treatment and Construction Services; Water Distribution Services; Technical and Consultancy Services and Sale of Machineries; and Urban Resources Services segments. It constructs sewage and reclaimed water treatment plants, and seawater desalination plants, as well as provides construction services for comprehensive renovation projects in the People's Republic of China, Malaysia, Australia, and the Republic of Botswana. The company also offers sewage and reclaimed water treatment services in People's Republic of China, Singapore, Portugal, Australia, and New Zealand; and distributes and sells piped water in the People's Republic of China, Portugal, and Australia. In addition, it provides technical and consultancy services; and sells machineries related to sewage treatment and construction services for renovation projects in the People's Republic of China and Australia. Further, the company is involved in the licensing of technical know-how related to sewage treatment, and provision of urban services and hazardous waste treatment services in the People's Republic of China; and sale of recycling and reuse products. Beijing Enterprises Water Group Limited was incorporated in 1992 and is headquartered in Wan Chai, Hong Kong."
372,PT INTL DEV,Capital Markets,capital-markets,Capital Markets,Financial Services,financial-services,Financial Services,"PT International Development Corporation Limited, an investment holding company, trades in commodities in Hong Kong, the People's Republic of China, the United Kingdom, and Mauritius. The company operates through Trading, Metal Recycling, Long-Term Investment, Petrochemical, Financial Institute Business, Finance, and Other Investment segments. It trades in commodities, including metals, chemicals, and energy products; invests in long-term debt instruments and equity investments, as well as trading of securities; and provides management services. The company also offers storage, unloading, and loading services for petrochemical products; loan financing services; and asset management, equity and insurance brokerage, and related services. In addition, it provides petrochemical port and storage services, as well as port-related services through operation of a terminal at Yingling Terminal Operation Area of Qinzhou Port, in Guangxi, the PRC. The company was formerly known as ITC Corporation Limited and changed its name to PT International Development Corporation Limited in June 2017. PT International Development Corporation Limited was incorporated in 1992 and is based in Wan Chai, Hong Kong."
373,ALLIED GROUP,Credit Services,credit-services,Credit Services,Financial Services,financial-services,Financial Services,"Allied Group Limited, an investment holding company, engages in the property investment and development, and financial service businesses in Hong Kong, the People's Republic of China, the United Kingdom, and Australia. It operates through Investment and Finance, Consumer Finance, Property Development, Property Investment, Property Management, Elderly Care Services, and Healthcare Services segments. The Investment and Finance segment is involved in the investment activities, and provision of mortgage loan and term loan financing services. The Consumer Finance segment offers consumer, SME, and other financing products. The Property Development segment engages in the development and sale of properties. The Property Investment segment is involved in the property rental, as well as hotel operations managed by third parties. The Property Management segment provides property management, and cleaning and security guarding services. The Elderly Care Services segment offers elderly care services and related business operations. The Healthcare services segment engages in the operations of hospitals. It also engages in the property holding; securities trading; money lending; management and consultancy; real estate agency; and corporate, and building management and maintenance services. In addition, the company involved in the medical equipment supplies distribution activities; and provision of storage, devanning, and freight forwarder services. Allied Group Limited was incorporated in 1972 and is based in Wan Chai, Hong Kong. Allied Group Limited is a subsidiary of Lee and Lee Trust."
374,FOUR SEAS MER,Packaged Foods,packaged-foods,Packaged Foods,Consumer Defensive,consumer-defensive,Consumer Defensive,"Four Seas Mercantile Holdings Limited, an investment holding company, engages in the manufacture and trade in snack foods, confectionery, beverages, frozen food products, noodles, and ham and ham-related products in Hong Kong and Mainland China. The company offers milk powder, biscuits, cakes, candies, chocolates, chips, snacks, instant noodles, beverages, alcohol, soy sauce, seasonings, ham, sausages, chicken, beef, pork, seafood, seaweed, and vegetables. In addition, it engages in the food materials trading, e-commerce retailing of confectionery and food products, property holding, and advertising agency businesses; trading of frozen food products; and provides lunch box and tuck shop services, as well as transportation services. The company's retail business covers a specialty store, which includes Okashi Land that offers Japanese snacks; YOKU MOKU cookie stores; Japan Ice Cream House; and Miyata Store providing Japanese imported food. Its catering business includes Kung Tak Lam, Shanghai vegetarian restaurant; Sushiyoshi, a Japanese omakase restaurant; Shiki Etsu, a Japanese restaurant; Panxi garden restaurant; and Sushi Oh, a Japanese revolving sushi restaurant. The company offers its products through a distribution network that covers department stores, supermarkets, convenience stores, fast food chains, wholesalers, retailers, restaurants, bars, hotels, and airlines. The company was incorporated in 1971 and is based in Kwun Tong, Hong Kong."
375,YGM TRADING,Apparel Retail,apparel-retail,Apparel Retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"YGM Trading Limited, an investment holding company, engages in the wholesale and retail of garments in Hong Kong, Taiwan, Mainland China, the United Kingdom, and internationally. It operates through four segments: Sales of Garments, Licensing of Trademarks, Printing and Related Services, and Property Rental segments. The company offers shirts, blouses, trousers and casual pants, blousons, polo shirts, T-shirts, etc.; hats for men, women, and children; golf and ski wears; perfume, watches, eyewear, leather goods, and home fashion products; and suits and casual wears. It is also involved in ownership, management, and licensing of trademarks; investment and leasing of properties; provision of security and general business printing services; trading of printing products; and development of authentication and electronic forgery detection solutions. The company offers its products under the Ashworth, Black Clover, Guy Laroche, J.Lindeberg, and Michel Rene brands. It serves customers through a distribution network of points of sales. YGM Trading Limited was founded in 1949 and is headquartered in San Po Kong, Hong Kong."
376,YUNFENG FIN,Insurance - Life,insurance-life,Insurance - Life,Financial Services,financial-services,Financial Services,"Yunfeng Financial Group Limited, an investment holding company, provides insurance products in Hong Kong and Macau. It operates in two segments, Insurance Business; and Other Financial Services and Corporate. The company provides life and medical insurance, annuities, pension, and mandatory provident fund schemes. It also offers fund and asset management services, as well as financing and investing solutions; and corporate advisory, and securities placing and underwriting advisory services. In addition, the company engages in the provision of employee stock ownership plan administration and principal investment. Further, it provides administrative, trustee, and general services; agency and consultancy services; marketing and promoting products, and public relations services; and computer software and hardware technological development, technical consulting, technology, and database and computer network services. The company was formerly known as Reorient Group Limited and changed its name to Yunfeng Financial Group Limited in November 2016. Yunfeng Financial Group Limited was incorporated in 1982 and is based in Wan Chai, Hong Kong."
377,CHINA HUAJUN GP,Specialty Chemicals,specialty-chemicals,Specialty Chemicals,Basic Materials,basic-materials,Basic Materials,"China Huajun Group Limited, an investment holding company, manufactures and sells multi-color packaging products, carton boxes, books, brochures, and other paper products in the People's Republic of China, the United States, European countries, Hong Kong, and internationally. It operates through three segments: Printing; Trading and Logistics; and Property Development and Investments. The company also engages in the distribution and sales of petrochemical products; provision of logistics and supply chain management services, as well as property management services; marketing, cargo freight, and management services; and asset management, investment consulting, corporate finance, mergers and acquisitions, financial leasing, account receivable factoring, and other financial services. In addition, it trades in petrochemical, rubber, and paper products; provides in warehousing and transportation services, as well as processing services; and engages in technology development and sales of chemical products. Further, the company is involved in property development and sales, property leasing and management, and various real estate business; and produces and sells monocrystalline silicon, solar stent, and related products. Additionally, it manufactures and maintains hydraulic machinery; produces and distributes solar photovoltaic products and surgical masks. The company was formerly known as Huajun International Group Limited and changed its name to China Huajun Group Limited in October 2020. The company was incorporated in 1968 and is headquartered in Sheung Wan, Hong Kong. China Huajun Group Limited operates as a subsidiary of Huajun Group Limited."
379,EG LEASING,Credit Services,credit-services,Credit Services,Financial Services,financial-services,Financial Services,"China Ever Grand Financial Leasing Group Co., Ltd., an investment holding company, provides finance lease and related consulting services in the People's Republic of China and Hong Kong. It operates through Financial Leasing, Investment, Distribution, and Manufacturing segments. The company also invests in treasury and properties; offers financing and money lending services; and sells medical, health, hygiene products, and daily necessities. In addition, it is involved in the research, development, manufacturing, and sale of food additives, new food ingredients, and nutritional enhancers; research and development of bioengineering technology; and provision of office management services, as well as sales of health beverage products. The company was formerly known as PME Group Limited and changed its name to China Ever Grand Financial Leasing Group Co., Ltd. in February 2016. China Ever Grand Financial Leasing Group Co., Ltd. was incorporated in 2002 and is headquartered in Wan Chai, Hong Kong."
380,CHINA PIPE,Home Improvement Retail,home-improvement-retail,Home Improvement Retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"China Pipe Group Limited, an investment holding company, engages in the trading of construction materials in Hong Kong, Macau, and Mainland China. The company wholesales and retails copper tube, ductile iron, and steel pipe related products, as well as fittings; and provides related services and solutions to the contractors, designers, consultants, and government agencies. It also provides warehousing and logistics services. The company was formerly known as Softpower International Limited and changed its name to China Pipe Group Limited in June 2021. China Pipe Group Limited was founded in 1949 and is headquartered in Mong Kok, Hong Kong."
381,KIU HUNG INT'L,Leisure,leisure,Leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"AOM International Group Company Limited, an investment holding company, manufactures and trades in toys and gifts. It operates through six segments: Manufacturing and Trading of Toys and Gifts Items, Exploration of Natural Resources, Fruit Plantation, Leisure, Culture, and Chinese Herbs. The company engages in the exploration of natural resources; and invests in fruit plantation, outbound tourism, tea, and wine products related businesses. It also provides management services; and trades in flags and garden products, and ceramic items, as well as engages in forestry products, wholesale, and beverage retail activities. In addition, the company is involved in the development, processing, and manufacture of Chinese herbs. It operates in the People's Republic of China, the United States, Canada, Spain, Italy, France, the United Kingdom, Samoa, South America, Mexico, and rest of Asia. The company was formerly known as Kiu Hung International Holdings Limited and changed its name to AOM International Group Company Limited in November 2024. AOM International Group Company Limited was founded in 1991 and is headquartered in Wan Chai, Hong Kong."
382,EDVANTAGE GROUP,Education & Training Services,education-training-services,Education & Training Services,Consumer Defensive,consumer-defensive,Consumer Defensive,"Edvantage Group Holdings Limited, an investment holding company, operates private higher and vocational education institutions in the People's Republic of China, Australia, and Singapore. It operates through PRC higher education and vocational education and Overseas higher education and vocational education segments. The company offers management, education consulting, IT consultation, property management and landscaping, language training, science and technology promotion and application, advertisement design, and technician education services, as well as develops and retails software products and provides school supplies. It also involved in the software and information technology; commercial service industry; planning and design management; estate management; food internet sales; and information consultation business. Edvantage Group Holdings Limited was founded in 2003 and is headquartered in Guangzhou, the People's Republic of China. Edvantage Group Holdings Limited is a subsidiary of Debo Education Investments Holdings Limited."
